date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:04:34	1302 Hz	87 W	5,3E-4 mbar	4,5E-4 mbar
2020-03-10, 15:04:36	1324 Hz	88 W	5,2E-4 mbar	4E-4 mbar
2020-03-10, 15:04:38	1344 Hz	88 W	5,1E-4 mbar	4E-4 mbar
2020-03-10, 15:04:40	1359 Hz	87 W	5E-4 mbar	4E-4 mbar
2020-03-10, 15:04:42	1378 Hz	87 W	4,9E-4 mbar	4E-4 mbar
2020-03-10, 15:04:44	1399 Hz	87 W	4,8E-4 mbar	4E-4 mbar
2020-03-10, 15:04:46	1414 Hz	87 W	4,7E-4 mbar	4E-4 mbar
2020-03-10, 15:04:48	1434 Hz	88 W	4,6E-4 mbar	4E-4 mbar
2020-03-10, 15:04:50	1448 Hz	87 W	4,5E-4 mbar	4E-4 mbar
2020-03-10, 15:04:52	1466 Hz	88 W	4,5E-4 mbar	4E-4 mbar
2020-03-10, 15:04:54	1480 Hz	56 W	4,4E-4 mbar	4E-4 mbar
2020-03-10, 15:04:56	1493 Hz	56 W	4,4E-4 mbar	4E-4 mbar
2020-03-10, 15:04:58	1502 Hz	45 W	4,3E-4 mbar	4E-4 mbar
2020-03-10, 15:05:00	1503 Hz	9 W	4,3E-4 mbar	4E-4 mbar
2020-03-10, 15:05:02	1500 Hz	9 W	4,3E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:04	1499 Hz	21 W	4,2E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:06	1500 Hz	20 W	4,2E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:08	1500 Hz	17 W	4,1E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:10	1500 Hz	17 W	4,1E-4 mbar	4E-4 mbar
2020-03-10, 15:05:12	1500 Hz	18 W	4,1E-4 mbar	4E-4 mbar
2020-03-10, 15:05:14	1500 Hz	18 W	4,1E-4 mbar	4E-4 mbar
2020-03-10, 15:05:16	1500 Hz	17 W	4,1E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:18	1500 Hz	18 W	4E-4 mbar	4E-4 mbar
2020-03-10, 15:05:20	1500 Hz	17 W	4E-4 mbar	4E-4 mbar
2020-03-10, 15:05:22	1500 Hz	18 W	4E-4 mbar	4E-4 mbar
2020-03-10, 15:05:24	1500 Hz	18 W	4E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:26	1500 Hz	17 W	4E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:28	1500 Hz	18 W	4E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:30	1500 Hz	17 W	4E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:32	1500 Hz	18 W	4E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:34	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
