date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:16:52	1500 Hz	33 W	3E-3 mbar	2,9E-3 mbar
2020-03-10, 15:16:54	1500 Hz	32 W	3E-3 mbar	2,9E-3 mbar
2020-03-10, 15:16:56	1500 Hz	34 W	3E-3 mbar	2,9E-3 mbar
2020-03-10, 15:16:58	1500 Hz	34 W	3E-3 mbar	3E-3 mbar
2020-03-10, 15:17:00	1500 Hz	34 W	3,2E-3 mbar	3E-3 mbar
2020-03-10, 15:17:02	1500 Hz	34 W	3,2E-3 mbar	3E-3 mbar
2020-03-10, 15:17:04	1500 Hz	34 W	3,2E-3 mbar	3E-3 mbar
2020-03-10, 15:17:06	1499 Hz	34 W	3,3E-3 mbar	3,3E-3 mbar
2020-03-10, 15:17:08	1500 Hz	36 W	3,6E-3 mbar	3,4E-3 mbar
2020-03-10, 15:17:10	1500 Hz	36 W	3,6E-3 mbar	3,4E-3 mbar
2020-03-10, 15:17:12	1500 Hz	36 W	3,6E-3 mbar	3,4E-3 mbar
2020-03-10, 15:17:14	1500 Hz	34 W	3,6E-3 mbar	3,4E-3 mbar
2020-03-10, 15:17:16	1500 Hz	34 W	3,6E-3 mbar	3,4E-3 mbar
2020-03-10, 15:17:18	1500 Hz	34 W	3,8E-3 mbar	3,6E-3 mbar
2020-03-10, 15:17:20	1499 Hz	37 W	4E-3 mbar	3,7E-3 mbar
2020-03-10, 15:17:22	1500 Hz	37 W	4E-3 mbar	3,7E-3 mbar
2020-03-10, 15:17:24	1500 Hz	37 W	4E-3 mbar	3,7E-3 mbar
2020-03-10, 15:17:26	1500 Hz	36 W	4E-3 mbar	3,7E-3 mbar
2020-03-10, 15:17:28	1500 Hz	37 W	4E-3 mbar	3,7E-3 mbar
2020-03-10, 15:17:30	1500 Hz	36 W	4E-3 mbar	3,8E-3 mbar
2020-03-10, 15:17:32	1500 Hz	38 W	4,1E-3 mbar	4E-3 mbar
2020-03-10, 15:17:34	1500 Hz	39 W	4,4E-3 mbar	4,1E-3 mbar
2020-03-10, 15:17:36	1500 Hz	38 W	4,4E-3 mbar	4,1E-3 mbar
2020-03-10, 15:17:38	1500 Hz	38 W	4,4E-3 mbar	4,1E-3 mbar
